name,ticker,exchangeCode,startDate,endDate,description
3M Company,MMM,NYSE,1970-01-02,2019-10-23,"3M Company (3M) is a diversified technology company. The Company operates in six segments: industrial and transportation; healthcare; consumer and office; safety, security and protection services; display and graphics, and electro and communications businesses. 3M products are sold through a number of distribution channels, including directly to users and through wholesalers, retailers, jobbers, distributors and dealers in a range of trades in a number of countries worldwide. In April 2012, it acquired CodeRyte Inc. In September 2012, it acquired the business of Federal Signal Technologies Group (FSTech) from Federal Signal Corporation. On November 28, 2012, the Company acquired Ceradyne, Inc."
American Express Company AMEX,AXP,NYSE,1972-06-01,2019-10-23,"American Express is a globally integrated payments company, providing customers with access to products, insights and experiences that enrich lives and build business success."
Apple Inc,AAPL,NASDAQ,1980-12-12,2019-10-23,"Apple Inc. (Apple) designs, manufactures and markets mobile communication and media devices, personal computers, and portable digital music players, and a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. The Company's products and services include iPhone, iPad, Mac, iPod, Apple TV, a portfolio of consumer and professional software applications, the iOS and OS X operating systems, iCloud, and a variety of accessory, service and support offerings. The Company also delivers digital content and applications through the iTunes Store, App StoreSM, iBookstoreSM, and Mac App Store. The Company distributes its products worldwide through its retail stores, online stores, and direct sales force, as well as through third-party cellular network carriers, wholesalers, retailers, and value-added resellers. In February 2012, the Company acquired app-search engine Chomp."
The Boeing Company,BA,NYSE,1962-01-02,2019-10-23,"Boeing Business Jets offers a portfolio of ultra-large-cabin, long-range airplanes that are perfectly suited for business and private, charter, corporate and head-of-state operations. The product line includes the BBJ MAX family and high-performance versions of Boeing's 787 Dreamliner, 777X, and 747-8. Since its launch in 1996, Boeing Business Jets has delivered 240 jets on 262 orders. Approximately 75 percent of widebody business jets sold in the last 22 years have been Boeing Business Jets and include the 787, 777 and 747."
Caterpillar Inc,CAT,NYSE,1962-01-02,2019-10-23,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent. Customers turn to Caterpillar to help them develop infrastructure, energy and natural resource assets. With 2018 sales and revenues of $54.722 billion, Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The company principally operates through its three primary segments - Construction Industries, Resource Industries and Energy & Transportation - and also provides financing and related services through its Financial Products segment."
Chevron Corp,CVX,NYSE,1970-01-02,2019-10-23,"Chevron Products Company is a division of an indirect, wholly owned subsidiary of the Chevron Corporation headquartered in San Ramon, CA. A full line of lubrication and coolant products are marketed through this organization. Select brands include Havoline , Delo  and Havoline Xpress Lube . Chevron Intellectual Property, LLC owns patented technology in advanced lubricants products, new generation base oil technology and coolants."
Cisco Systems Inc,CSCO,NASDAQ,1990-03-26,2019-10-23,"Cisco is the worldwide technology leader that has been making the Internet work since 1984. Our people, products, and partners help society securely connect and seize tomorrow's digital opportunity today. Discover more at newsroom.cisco.com and follow us on Twitter at @Cisco. Cisco and the Cisco logo are trademarks or registered trademarks of Cisco and/or its affiliates in the U.S. and other countries. A listing of Cisco's trademarks can be found at www.cisco.com/go/trademarks. Third-party trademarks mentioned are the property of their respective owners. The use of the word partner does not imply a partnership relationship between Cisco and any other company. Additional Information and Where to Find It Cisco Systems, Inc. (""Cisco"") plans to file a proxy statement and accompanying solicitation materials with the Securities and Exchange Commission (the ""SEC"") in connection with the solicitation of proxies for its 2019 Annual Meeting of Shareholders (the ""Annual Meeting""). The proxy statement will contain important information about Cisco, the Annual Meeting, and related matters. Shareholders are urged to read the proxy statement and the accompanying solicitation materials when they become available because these documents will contain important information. Cisco, its directors, and certain of its executive officers and other agents may be deemed to be participants in the solicitation of proxies from its shareholders in connection with the Annual Meeting. Information regarding the names of Cisco's directors, nominees, and executive officers and their respective interests in Cisco is set forth in Cisco's annual report on Form 10-K filed with the SEC on September 5, 2019 and will be set forth in the proxy statement and accompanying solicitation materials and in their respective Statements of Changes in Beneficial Ownership on Form 4 filed with the SEC after the date of the proxy statement."
The CocaCola Company,KO,NYSE,1962-01-02,2019-10-23,"The Coca-Cola Company is a total beverage company, offering over 500 brands in more than 200 countries and territories. In addition to the company's Coca-Cola brand, our portfolio includes AdeS, Ayataka, Costa, Dasani, Del Valle, Fanta, Georgia, Gold Peak, Honest, innocent, Minute Maid, Powerade, Simply, smartwater, Sprite, vitaminwater and ZICO. We're constantly transforming our portfolio, from reducing sugar in our drinks to bringing innovative new products to market. We're also working to reduce our environmental impact by replenishing water and promoting recycling. With our bottling partners, we employ more than 700,000 people, helping bring economic opportunity to local communities worldwide."
The Walt Disney Company,DIS,NYSE,1962-01-02,2019-10-23,"Disney Parks, Experiences and Products brings the magic of The Walt Disney Company's powerful brands and franchises-including Disney, Pixar, Marvel, Star Wars, ESPN, 20th Century Fox and National Geographic-into the daily lives of families and fans around the world to create magical memories that last a lifetime. When Walt Disney opened Disneyland in Anaheim, California on July 17, 1955, he created a unique destination built around storytelling and immersive experiences, ushering in a new era of family entertainment. More than sixty years later, Disney has grown into one of the world's leading providers of family travel and leisure experiences, with iconic businesses including six resort destinations with 12 theme parks and 52 resorts in the United States, Europe and Asia with approximately 160,000 cast members; a top-rated cruise line with four ships and plans for three more to be completed in 2021, 2022, and 2023; a luxurious family beach resort in Hawaii; a popular vacation ownership program; and an award-winning guided family adventure business. Disney's global consumer products operations include the world's leading licensing business; one of the world's largest children's print publisher; one of the world's largest licensors of games across platforms; more than 200 Disney store locations around the world; and the shopDisney e-commerce platform. These experiences are created by Disney Imagineers, the creative force behind experiences found in Disney theme parks, resort hotels, cruise ships and consumer products-including books, games and merchandise. About Lucasfilm Ltd. Lucasfilm Ltd., a wholly-owned subsidiary of The Walt Disney Company, is a global leader in film, television and digital entertainment production. In addition to its motion-picture and television production, the company's activities include visual effects and audio post-production, cutting-edge digital animation, interactive entertainment software, and the management of the global merchandising activities for its entertainment properties including the legendary STAR WARS and INDIANA JONES franchises. Lucasfilm Ltd. is headquartered in northern California. Lucasfilm, the Lucasfilm logo, STAR WARS and related properties are trademarks and/or copyrights, in the United States and other countries, of Lucasfilm Ltd. and/or its affiliates.  & TM Lucasfilm Ltd. All rights reserved."
Exxon Mobil Corp,XOM,NYSE,1970-01-02,2019-10-23,"Exxon Mobil Corporation (Exxon Mobil) is a manufacturer and marketer of commodity petrochemicals, including olefins, aromatics, polyethylene and polypropylene plastics and a range of specialty products. The Company has a number of divisions and affiliates with names that include ExxonMobil, Exxon, Esso or Mobil. Divisions and affiliated companies of ExxonMobil operate or market products in the United States and other countries of the world. Their principal business is energy, involving exploration for, and production of, crude oil and natural gas, manufacture of petroleum products and transportation and sale of crude oil, natural gas and petroleum products. In January 2012, Apache Corporation acquired Exxon Mobil's Mobil North Sea Limited assets including the Beryl field and related properties. In April 2013, BNK Petroleum (US) Inc. sold Tishomingo Field, Oklahoma assets other than the Caney and upper Sycamore formations to XTO Energy Inc., a subsidiary of Exxon Mobil Corporation."
Goldman Sachs Group Inc,GS,NYSE,1999-05-04,2019-10-23,"Merchant Banking Division's Private Credit Group has been a leading investor in private credit for over 20 years and has raised over $80 billion. Senior Credit Partners II is the fifteenth commingled corporate credit vehicle managed by MBD since 1996. In December 2018, Goldman Sachs' private debt investing businesses were ranked first in Private Debt Investor's ""PDI 50,"" which ranks managers by total capital raised over the last five years. About Goldman Sachs Merchant Banking Division MBD is the primary center for Goldman Sachs' long term principal investing activity, investing in equity and credit across corporate, real estate and infrastructure strategies. MBD is the primary center for Goldman Sachs' long term principal investing activity, investing in equity and credit across corporate, real estate and infrastructure strategies. Since its founding over 25 years ago, MBD has invested over $200 billion across these strategies. With nine offices in six countries around the world, MBD is one of the largest managers of private capital globally, offering deep expertise and long-standing relationships with companies, investors, entrepreneurs and financial intermediaries around the world. About Goldman Sachs The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world."
The Home Depot Inc,HD,NYSE,1981-09-22,2019-10-23,"The Home Depot is the world's largest home improvement specialty retailer, with 2,291 retail stores in all 50 states, the District of Columbia, Puerto Rico, U.S. Virgin Islands, Guam, 10 Canadian provinces and Mexico. In fiscal 2018, The Home Depot had sales of $108.2 billion and earnings of $11.1 billion. The Company employs more than 400,000 associates. The Home Depot's stock is traded on the New York Stock Exchange and is included in the Dow Jones industrial average and Standard & Poor's 500 index. SOURCE The Home Depot Related Links http://www.homedepot.com"
International Business Machines Corp,IBM,NYSE,1962-01-02,2019-10-23,"International Business Machines Corporation (IBM) is an information technology (IT) company. IBM operates in five segments: Global Technology Services (GTS), Global Business Services (GBS), Software, Systems and Technology and Global Financing. GTS primarily provides IT infrastructure services and business process services. GBS provides professional services and application management services. Software consists primarily of middleware and operating systems software. Systems and Technology provides clients with business solutions requiring advanced computing power and storage capabilities. In October 2013, International Business Machines Corporation acquired Xtify Inc. In October 2013, the Company announced that it has completed the acquisition of The Now Factory, a privately held provider of analytics software that helps communications service providers (CSPs) deliver better customer experiences and drive new revenue opportunities."
Intel Corp,INTC,NASDAQ,1980-03-17,2019-10-23,"Intel, a leader in the semiconductor industry, is shaping the data-centric future with computing and communications technology that is the foundation of the world's innovations. The company's engineering expertise is helping address the world's greatest challenges as well as helping secure, power and connect billions of devices and the infrastructure of the smart, connected world â€“ from the cloud to the network to the edge and everything in between."
Johnson Johnson,JNJ,NYSE,1970-01-02,2019-10-23,"At Johnson & Johnson, we believe good health is the foundation of vibrant lives, thriving communities and forward progress. That's why for more than 130 years, we have aimed to keep people well at every age and every stage of life. Today, as the world's largest and most broadly-based health care company, we are committed to using our reach and size for good. We strive to improve access and affordability, create healthier communities, and put a healthy mind, body and environment within reach of everyone, everywhere. We are blending our heart, science and ingenuity to profoundly change the trajectory of health for humanity. SOURCE Johnson & Johnson Related Links http://www.jnj.com"
JPMorgan Chase Company,JPM,NYSE,1983-12-30,2019-10-23,"JPMorgan Chase & Co. is a leading global financial services firm with assets of $2.6 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of customers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands."
McDonalds Corp,MCD,NYSE,1970-01-02,2019-10-23,"McDonald's Corporation franchises and operates McDonald's restaurants in the global restaurant industry. These restaurants serve menu at various price points providing value in 119 countries globally. All restaurants are operated either by the Company or by franchisees, including conventional franchisees under franchise arrangements, and developmental licensees and foreign affiliated markets under license agreements. Under the conventional franchise arrangement, franchisees provide a portion of the capital required by initially investing in the equipment, signs, seating and decor of their restaurant businesses, and by reinvesting in the business over time."
Merck Company Inc,MRK,NYSE,1970-01-02,2019-10-23,"For more than a century, Merck, a leading global biopharmaceutical company known as MSD outside of the United States and Canada, has been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Through our prescription medicines, vaccines, biologic therapies and animal health products, we work with customers and operate in more than 140 countries to deliver innovative health solutions. We also demonstrate our commitment to increasing access to health care through far-reaching policies, programs and partnerships. Today, Merck continues to be at the forefront of research to advance the prevention and treatment of diseases that threaten people and communities around the world - including cancer, cardio-metabolic diseases, emerging animal diseases, Alzheimer's disease and infectious diseases including HIV and Ebola."
Microsoft Corp,MSFT,NASDAQ,1986-03-13,2019-10-23,"Microsoft (Nasdaq ""MSFT"" @microsoft) enables digital transformation for the era of an intelligent cloud and an intelligent edge. Its mission is to empower every person and every organization on the planet to achieve more."
Nike Inc,NKE,NYSE,1980-12-02,2019-10-23,"NIKE, Inc. (NIKE) is engaged in the design, development and worldwide marketing and selling of footwear, apparel, equipment, accessories and services. NIKE is a seller of athletic footwear and athletic apparel worldwide. The Company sells its products to retail accounts, through NIKE-owned retail stores and Internet sales, and through a mix of independent distributors and licensees, in approximately 190 countries around the world. The Company focuses its product offerings in seven key categories: Running, Basketball, Football (Soccer), Men's Training, Women's Training, NIKE Sportswear (its sports-inspired products) and Action Sports. It also markets products designed for kids, as well as for other athletic and recreational uses, such as baseball, cricket, golf, lacrosse, outdoor activities, football (American), tennis, volleyball, walking and wrestling. In February 2013, it sold its Cole Haan affiliate brand to APAX Partners LLP."
Pfizer Inc,PFE,NYSE,1972-06-01,2019-10-23,"At Pfizer Oncology, we are committed to advancing medicines wherever we believe we can make a meaningful difference in the lives of patients. Today, Pfizer Oncology has an industry-leading portfolio of 22 approved innovative cancer medicines and biosimilars across more than 30 indications, including breast, prostate, kidney and lung cancers, as well as leukemia and melanoma. Pfizer Oncology is striving to change the trajectory of cancer. Pfizer Inc.: Breakthroughs that change patients' lives At Pfizer, we apply science and our global resources to bring therapies to people that extend and significantly improve their lives. We strive to set the standard for quality, safety and value in the discovery, development and manufacture of health care products, including innovative medicines and vaccines. Every day, Pfizer colleagues work across developed and emerging markets to advance wellness, prevention, treatments and cures that challenge the most feared diseases of our time. Consistent with our responsibility as one of the world's premier innovative biopharmaceutical companies, we collaborate with health care providers, governments and local communities to support and expand access to reliable, affordable health care around the world. For more than 150 years, we have worked to make a difference for all who rely on us."
The Procter Gamble Company,PG,NYSE,1970-01-02,2019-10-23,"P&G serves consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always, Ambi Pur, Ariel, Bounty, Charmin, Crest, Dawn, Downy, Fairy, Febreze, Gain, Gillette, Head & Shoulders, Lenor, Olay, Oral-B, Pampers, Pantene, SK-II, Tide, Vicks, and Whisper. The P&G community includes operations in approximately 70 countries worldwide."
Travelers Companies Inc,TRV,NYSE,1986-07-09,2019-10-23,"The Travelers Institute, the public policy division of The Travelers Companies, Inc., engages in discussion and analysis of public policy topics of importance to the insurance marketplace and to the financial services industry more broadly. The Travelers Institute draws upon the industry expertise of Travelers' senior management, as well as the technical expertise of many of Travelers' underwriters, risk managers and other experts to provide information, analysis and solutions to public policymakers and regulators. Travelers is a leading provider of property casualty insurance for auto, home and business."
United Technologies Corp,UTX,NYSE,1970-01-02,2019-10-23,"United Technologies Corp., based in Farmington, Connecticut, provides high-technology systems and services to the building and aerospace industries. By combining a passion for science with precision engineering, the company is creating smart, sustainable solutions the world needs."
UnitedHealth Group Inc,UNH,NYSE,1990-03-26,2019-10-23,"UnitedHealth Group is a diversified health care company dedicated to helping people live healthier lives and helping to make the health system work better for everyone. UnitedHealth Group offers a broad spectrum of products and services through two distinct platforms: UnitedHealthcare, which provides health care coverage and benefits services; and Optum, which provides information and technology-enabled health services."
Verizon Communications Inc,VZ,NYSE,1983-11-21,2019-10-23,"Verizon Communications Inc. (NYSE, Nasdaq: VZ), headquartered in New York City, generated revenues of $130.9 billion in 2018. The company operates the network more people rely on and the nation's premier all-fiber network, and delivers integrated solutions to businesses worldwide. With brands like Yahoo, TechCrunch and HuffPost, the company's media group helps consumers stay informed and entertained, communicate and transact, while creating new ways for advertisers and partners to connect. Verizon's corporate responsibility prioritizes the environmental, social and governance issues most relevant to its business and impact to society."
WalMart Stores Inc,WMT,NYSE,1972-08-25,2019-10-23,"Wal-Mart Stores, Inc. (Walmart) operates retail stores in various formats globally. The Company operates in three segments: the Walmart U.S., the Walmart International and the Sam's Club. During the fiscal year ended January 31, 2013 (fiscal 2013), its Walmart U.S. segment accounted for approximately 59% of its net sales and operated retail stores in various formats in all 50 states in the United States and Puerto Rico, as well as Walmart's online retail operations, walmart.com. Its Walmart International segment consists of retail operations in 26 countries. In fiscal 2013, this segment generated approximately 29% of its net sales. The Walmart International segment includes a range of formats of retail stores, restaurants, Sam's Clubs and online retail operations, which operate outside the United States. Sam's Club segment consists of membership warehouse clubs operated in 47 states in the United States and Puerto Rico, as well as the segment's online retail operations, samsclub.com."
Walgreens Boots Alliance Inc,WBA,NASDAQ,1985-07-01,2019-10-23,"Walgreens ( walgreens.com ), one of the nation's largest drugstore chains, is included in the Retail Pharmacy USA Division of Walgreens Boots Alliance, Inc., the first global pharmacy-led, health and wellbeing enterprise. Approximately 8 million customers interact with Walgreens in stores and online each day, using the most convenient, multichannel access to consumer goods and services and trusted, cost-effective pharmacy, health and wellness services and advice. As of August 31, 2018, Walgreens operates 9,560 drugstores with a presence in all 50 states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands, along with its omnichannel business, Walgreens.com. Approximately 400 Walgreens stores offer Healthcare Clinic or other provider retail clinic services."
Amazoncom Inc,AMZN,NASDAQ,1997-05-15,2019-10-23,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, AWS, Kindle Direct Publishing, Kindle, Fire tablets, Fire TV, Amazon Echo, and Alexa are some of the products and services pioneered by Amazon."
Equifax Inc,EFX,NYSE,1986-03-27,2019-10-23,"Equifax is a global data, analytics, and technology company and believes knowledge drives progress. The Company blends unique data, analytics, and technology with a passion for serving customers globally, to create insights that power decisions to move people forward. Headquartered in Atlanta, Equifax operates or has investments in 24 countries in North America, Central and South America, Europe and the Asia Pacific region. It is a member of Standard & Poor's (S&P) 500 Index, and its common stock is traded on the New York Stock Exchange (NYSE) under the symbol EFX. Equifax employs approximately 11,000 employees worldwide. Earnings Conference Call and Audio Webcast In conjunction with this release, Equifax will host a conference call on October 24, 2019 at 8:30 a.m. (ET) via a live audio webcast."
